Account,Service Number,Reason Code,Adjust Type,Op Type,Open Amount,Ext Trans Id,Bill Cycle ID,Acct Balance,Balance Type,Eff Date,Exp Date,Notify Flag,Due Date,Remark,Invoice No,Invoice ID,Invoice Date,Region,Amount format
1100672029,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919521,8777140,24-05-2020,R03,399.01
1100713012,,AC_AJCRASE,CR,1,28952.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920369,8782010,24-05-2020,R07,289.52
1100713012,,AC_AJCRASE,CR,1,18974.0,,20200415,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003918550,8746014,15-05-2020,R07,189.74
1100672022,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919520,8777131,24-05-2020,R03,399.01
1100713017,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920368,8775056,24-05-2020,R07,229.00
1100672023,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919519,8780052,24-05-2020,R03,399.01
1100674019,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919518,8780051,24-05-2020,R03,399.01
1100674015,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919517,8769051,24-05-2020,R03,499.00
1100676037,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919516,8778095,24-05-2020,R03,399.01
1100672017,,AC_AJCRASE,CR,1,40400.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919515,8780050,24-05-2020,R03,404.00
1100672016,,AC_AJCRASE,CR,1,40108.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919514,8772096,24-05-2020,R03,401.08
1100672028,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919513,8772095,24-05-2020,R03,399.01
1100674020,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919512,8784049,24-05-2020,R03,399.01
1100674017,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919511,8776103,24-05-2020,R03,229.00
1100615019,,AC_AJCRASE,CR,1,78295.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919406,8771324,24-05-2020,R09,782.95
1100672021,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919510,8778093,24-05-2020,R03,399.01
1100669017,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919509,8781050,24-05-2020,R03,229.00
1100672014,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919508,8781051,24-05-2020,R03,399.01
1100673024,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919507,8769052,24-05-2020,R03,399.01
1100682024,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919416,8775095,24-05-2020,R09,599.00
1100602006,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919415,8773076,24-05-2020,R09,599.00
1100611012,,AC_AJCRASE,CR,1,99238.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919414,8773078,24-05-2020,R09,992.38
1100617006,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919413,8773077,24-05-2020,R09,599.00
1100687015,,AC_AJCRASE,CR,1,60020.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919412,8779135,24-05-2020,R09,600.20
